УКРАЇНА 45962947 45778534 45633637
Сільське населення 308443 304848 301061
Луганськ (міськрада) 474415 470732 466627
Міське населення 471316 467646 463566
_______ _ _ _ _м_._ Л_у_г_а_н_с_ь_к________________________43_4_8_6_9_____431_1_0_9_____4_2_7_1_8_7_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
72
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Олександрівськ 6732 6709 6683
м. Щастя 13160 13105 12937
смт Ювілейне 16555 16723 16759
Сільське населення 3099 3086 3061
м. Алчевськ 113980 113002 112071
Антрацит (міськрада) 79816 79066 78482
Міське населення 78179 77482 76950
м. Антрацит 55897 55441 55060
смт Бокове-Платове 2731 2702 2689
смт Верхній Нагольчик 1770 1748 1758
смт Дубівський 4123 4074 4023
смт Кам'яне 2806 2758 2744
смт Кріпенський 6976 6941 6921
смт Щотове 3876 3818 3755
Сільське населення 1637 1584 1532
Брянка (міськрада) 55149 54653 54085
Міське населення 55149 54653 54085
м. Брянка 48971 48509 47974
смт Вергулівка 1347 1321 1315
смт Ганнівка 282 274 273
смт Глибокий 224 221 219
смт Ломуватка 938 920 921
смт Южна Ломуватка 3387 3408 3383
Кіровськ (міськрада) 37668 37160 36708
Міське населення 37304 36811 36376
м. Кіровськ 29645 29235 28852
смт Донецький 3855 3783 3750
смт Новотошківське 2334 2349 2359
смт Червоногвардійське 1470 1444 1415
Сільське населення 364 349 332
Красний Луч (міськрада) 127629 126224 125166
Міське населення 126812 125411 124368
м. Красний Луч 84792 84036 83460
м. Вахрушеве 12433 12197 12050
м. Міусинськ 5051 4999 4938
м. Петровське 13658 13500 13391
смт Грушове 940 919 905
смт Запоріжжя 977 940 916
смт Княгинівка 959 946 917
смт Садово-Хрустальненський 633 622 614
смт Софіївський 4124 4050 4024
смт Федорівка 410 410 411
смт Хрустальне 1493 1469 1442
смт Штерівка 1342 1323 1300
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_______________________8_1_7_________8_1_3_________7_9_8_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
73
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Краснодон (міськрада) 106228 105413 104640
Міське населення 104905 104132 103362
м. Краснодон 45127 44840 44574
м. Молодогвардійськ 23757 23580 23430
м. Суходільськ 21427 21324 21167
смт Гірне 74 64 59
смт Енгельсове 1042 1023 1010
смт Ізварине 1769 1755 1727
смт Краснодарський 341 344 337
смт Краснодон 5459 5398 5379
смт Сєверний 2001 1954 1928
смт Сєверо-Гундорівський 1207 1177 1131
смт Урало-Кавказ 2701 2673 2620
Сільське населення 1323 1281 1278
Лисичанськ (міськрада) 122573 121460 120785
Міське населення 122573 121460 120785
м. Лисичанськ 106557 105689 105119
м. Новодружеськ 7968 7870 7816
м. Привілля 8048 7901 7850
Первомайськ (міськрада) 71870 71149 70581
Міське населення 71870 71149 70581
м. Первомайськ 39105 38801 38640
м. Гірське 10428 10317 10216
м. Золоте 15202 14974 14745
смт Нижнє 2689 2651 2602
смт Тошківка 4446 4406 4378
Ровеньки (міськрада) 85444 84813 84366
Міське населення 82170 81596 81211
м. Ровеньки 49150 48694 48262
смт Великокам'янка 1181 1163 1149
смт Гірник 800 817 802
смт Дзержинський 8593 8599 8679
смт Кленовий 2177 2142 2101
смт Михайлівка 2871 2811 2808
смт Нагольно-Тарасівка 2064 2073 2107
смт Новодар'ївка 4473 4460 4436
смт Пролетарський 1545 1548 1569
смт Тацине 275 272 270
